                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.032592,               0.011531,               0.030102,              0.0035882,                0.94574,                 0.9654,                0.98367,                0.65013,                 0.9503,                0.95528,                0.97079,                0.71128,               0.026721,               0.011516,               0.020447,              0.0022401,               0.007723,               0.007723,               0.007723
                     25,               0.031577,               0.011603,                0.02912,              0.0033692,                 0.9094,                0.92295,                0.96465,                0.64685,                0.84677,                0.82199,                0.82997,                0.57094,               0.026622,               0.012041,               0.021548,               0.004358,               0.007624,               0.007624,               0.007624
                     26,                0.02989,               0.011818,                  0.029,              0.0030769,                0.91664,                0.94114,                0.94823,                0.64864,                0.86036,                 0.8754,                0.85698,                0.58668,               0.025803,               0.011597,               0.020278,              0.0021305,               0.007525,               0.007525,               0.007525
                     27,               0.029746,               0.011456,               0.028285,              0.0032811,                0.95323,                0.96461,                0.98047,                0.68456,                0.89061,                0.90372,                0.89019,                0.60427,                0.02384,               0.010754,               0.020444,              0.0022046,               0.007426,               0.007426,               0.007426
                     28,               0.027624,               0.011895,                0.02871,                0.00286,                0.95759,                0.96174,                0.98048,                0.69069,                0.91998,                0.92292,                0.92274,                0.61216,                0.02502,               0.010977,               0.021004,              0.0016686,               0.007327,               0.007327,               0.007327
                     29,               0.030347,               0.011456,               0.029187,               0.002882,                0.96013,                0.96605,                0.98541,                0.70668,                0.90141,                0.90367,                0.90884,                0.61091,               0.025516,               0.010504,                0.01972,              0.0017721,               0.007228,               0.007228,               0.007228
                     30,                0.02967,               0.010898,               0.028949,              0.0028657,                0.98472,                0.97639,                0.98932,                0.74221,                0.94832,                0.94133,                0.92916,                0.63692,               0.022181,               0.010301,               0.019011,              0.0017283,               0.007129,               0.007129,               0.007129
                     31,               0.030429,               0.010936,               0.029977,              0.0023857,                0.97695,                0.96202,                0.98738,                0.73158,                0.94624,                0.93101,                0.93713,                0.63721,               0.024918,               0.010316,               0.019582,              0.0015749,                0.00703,                0.00703,                0.00703
                     32,               0.028812,               0.010979,               0.026459,              0.0022462,                 0.9596,                0.95684,                0.98216,                0.70474,                 0.9499,                0.94278,                0.95722,                0.71643,               0.021307,               0.010861,               0.019145,              0.0018289,               0.006931,               0.006931,               0.006931
                     33,                0.02873,               0.010932,               0.026773,              0.0021667,                0.91303,                0.96345,                0.96556,                0.71152,                0.88298,                 0.9324,                0.90653,                0.62999,                0.02413,               0.010617,               0.018874,              0.0014816,               0.006832,               0.006832,               0.006832
                     34,                0.02586,               0.010969,                0.02602,              0.0024641,                0.94175,                0.97272,                0.98142,                0.76892,                0.91735,                 0.9518,                0.94845,                0.70729,               0.023005,               0.010468,               0.018788,              0.0017156,               0.006733,               0.006733,               0.006733
                     35,               0.026449,               0.011073,               0.026531,              0.0022506,                0.98447,                0.97707,                0.98604,                0.74793,                 0.9412,                0.93491,                  0.934,                0.64219,               0.025227,               0.010168,               0.019112,              0.0016034,               0.006634,               0.006634,               0.006634
                     36,               0.026993,               0.010679,                 0.0267,              0.0022719,                0.98689,                0.97851,                 0.9872,                0.77484,                0.95621,                0.94562,                0.94562,                0.65862,                0.01885,               0.010205,               0.017467,              0.0014693,               0.006535,               0.006535,               0.006535
                     37,               0.026357,                0.01071,               0.026484,              0.0020631,                 0.9883,                0.97422,                0.98726,                0.73493,                0.93802,                0.93182,                0.92299,                0.64546,               0.023764,              0.0099712,               0.018662,              0.0014351,               0.006436,               0.006436,               0.006436
                     38,               0.025885,                0.01072,               0.025853,              0.0021452,                0.97897,                0.97124,                0.98687,                0.74952,                0.94214,                0.94565,                0.93685,                0.64792,                0.02262,               0.010147,               0.018349,              0.0014525,               0.006337,               0.006337,               0.006337
                     39,               0.026142,               0.011087,               0.027849,              0.0024122,                0.98323,                 0.9692,                0.98397,                0.71793,                0.96319,                0.94108,                0.94461,                0.63424,               0.028068,               0.010454,                0.02021,              0.0015542,               0.006238,               0.006238,               0.006238
                     40,               0.025587,               0.010646,               0.027433,              0.0018896,                0.98206,                0.98144,                0.98759,                 0.7599,                0.96609,                0.96709,                0.96417,                0.73385,               0.020568,               0.010304,               0.017647,              0.0013484,               0.006139,               0.006139,               0.006139
                     41,               0.025173,               0.011041,               0.026357,              0.0019171,                0.96959,                0.98252,                0.98677,                0.77302,                0.94622,                 0.9591,                0.94949,                 0.6636,               0.018744,               0.010067,               0.017312,               0.001393,                0.00604,                0.00604,                0.00604
                     42,               0.022751,               0.010354,               0.026072,              0.0020507,                0.98353,                0.98401,                0.98908,                0.74145,                0.96528,                0.96559,                0.96065,                0.71392,               0.020925,               0.010072,                0.01786,               0.001559,               0.005941,               0.005941,               0.005941
                     43,               0.021675,               0.010072,               0.024758,              0.0021553,                0.96761,                0.97679,                0.98758,                0.78904,                0.94756,                0.96111,                0.96311,                0.70891,               0.019514,                0.01001,               0.017552,              0.0013418,               0.005842,               0.005842,               0.005842
                     44,               0.022558,               0.010022,               0.024866,              0.0016875,                0.98651,                0.98059,                0.98858,                0.81242,                0.95102,                0.95436,                0.94817,                0.69286,               0.016515,                0.01004,               0.016825,              0.0011756,               0.005743,               0.005743,               0.005743
                     45,               0.022097,               0.010477,               0.024482,              0.0016118,                0.98644,                0.97903,                0.98816,                0.80967,                0.95281,                0.95115,                 0.9412,                0.68908,               0.016528,              0.0099392,               0.016916,              0.0012524,               0.005644,               0.005644,               0.005644
                     46,               0.022629,               0.010378,               0.025293,              0.0018613,                0.98867,                0.98527,                0.98874,                0.80321,                0.96777,                0.96474,                0.96183,                 0.6945,               0.016941,              0.0098695,               0.016582,              0.0012201,               0.005545,               0.005545,               0.005545
                     47,               0.022393,               0.010321,               0.024223,              0.0016858,                0.98833,                0.98613,                0.98936,                0.80914,                0.97076,                0.96774,                0.96036,                0.68305,               0.016837,              0.0099458,               0.016673,              0.0012599,               0.005446,               0.005446,               0.005446
                     48,               0.022086,               0.010242,               0.025457,              0.0015456,                0.98208,                0.98597,                0.98872,                0.81103,                0.96692,                0.97077,                0.96561,                0.71891,               0.017829,              0.0099847,               0.016712,              0.0011334,               0.005347,               0.005347,               0.005347
                     49,                0.02182,               0.010417,                0.02521,              0.0016953,                0.98843,                0.98457,                0.98855,                0.82343,                0.96666,                 0.9646,                0.96112,                 0.6764,               0.015444,               0.010137,               0.016206,              0.0011587,               0.005248,               0.005248,               0.005248
                     50,               0.020859,               0.010377,               0.024422,              0.0015928,                0.98584,                0.98515,                0.98857,                0.80182,                0.97246,                0.97598,                0.97637,                0.73352,               0.015788,              0.0097715,                0.01624,              0.0011123,               0.005149,               0.005149,               0.005149
                     51,               0.020843,               0.010267,                0.02332,              0.0017884,                0.98784,                0.98122,                0.99079,                0.80046,                0.97871,                0.97129,                0.97484,                0.74281,               0.016066,                 0.0103,               0.016304,              0.0012122,                0.00505,                0.00505,                0.00505
                     52,               0.020844,               0.011229,                0.02382,              0.0017548,                0.98461,                0.98379,                0.98854,                  0.823,                0.97687,                0.97677,                0.97611,                0.71362,               0.017706,               0.010195,               0.016384,              0.0011819,               0.004951,               0.004951,               0.004951
                     53,                0.02032,                0.01061,               0.024303,              0.0016032,                 0.9889,                0.98305,                0.99212,                0.82927,                0.98074,                0.97141,                0.97487,                0.71324,               0.016314,               0.010035,               0.015919,              0.0011834,               0.004852,               0.004852,               0.004852
                     54,                0.01906,               0.010444,               0.023466,              0.0016778,                  0.992,                 0.9819,                0.98875,                0.81413,                0.95938,                0.94785,                0.92816,                0.68392,               0.015279,              0.0099519,               0.015888,              0.0011698,               0.004753,               0.004753,               0.004753
                     55,                0.01954,              0.0099728,               0.022514,              0.0015599,                0.98829,                0.98329,                0.98872,                0.81576,                0.97409,                0.96008,                0.96405,                  0.698,               0.016098,              0.0098012,               0.015736,             0.00098116,               0.004654,               0.004654,               0.004654
                     56,               0.019236,               0.010312,                0.02273,               0.001481,                0.99204,                0.98708,                0.98917,                0.83725,                0.97794,                0.96838,                0.96712,                0.70829,               0.015806,              0.0097911,               0.015406,             0.00094497,               0.004555,               0.004555,               0.004555
                     57,               0.019397,               0.010397,               0.022638,               0.001613,                 0.9925,                0.98468,                0.98909,                0.83242,                0.96486,                0.95547,                0.95725,                 0.6808,               0.015798,              0.0096613,               0.015704,             0.00092706,               0.004456,               0.004456,               0.004456
                     58,               0.018097,               0.010137,               0.022604,              0.0014841,                0.99077,                0.98266,                0.99078,                0.83621,                0.95774,                0.95427,                0.95735,                0.69493,               0.014681,              0.0097466,               0.015054,              0.0011158,               0.004357,               0.004357,               0.004357
