                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10717,               0.083864,               0.096813,               0.038551,                0.79649,                0.17337,                0.16749,               0.044788,                0.83068,                0.19958,                0.21715,                0.16406,               0.083443,               0.037276,               0.058273,                0.03288,               0.070566,              0.0032704,              0.0032704
                      1,               0.088958,               0.018221,               0.059683,               0.025372,                 0.4762,                 0.5315,                0.37274,                0.11747,                0.63017,                0.45089,                0.50461,                0.33575,               0.077286,               0.015657,               0.036131,               0.020649,               0.040533,              0.0065711,              0.0065711
                      2,               0.087464,               0.017039,               0.052317,               0.018963,                0.26678,                0.54595,                0.29846,               0.075022,                0.63005,                0.61833,                0.63193,                0.41273,               0.084649,               0.017183,               0.036568,               0.015191,               0.010468,              0.0098387,              0.0098387
                      3,               0.080642,               0.015097,               0.047924,               0.018126,                0.38289,                0.65166,                0.43009,                 0.1403,                0.59184,                0.63997,                0.61409,                0.44763,               0.070394,               0.016173,               0.050639,               0.013945,              0.0098515,              0.0098515,              0.0098515
                      4,               0.066273,               0.014341,                0.04809,               0.014046,                0.42923,                0.58773,                 0.4497,                0.13302,                0.45258,                0.63877,                0.55624,                0.42451,               0.067918,                0.01774,               0.044147,               0.012514,              0.0098515,              0.0098515,              0.0098515
                      5,               0.057455,               0.013934,               0.047421,               0.010749,                0.52362,                0.66936,                0.56709,                0.22374,                0.57897,                 0.6751,                0.67826,                0.53064,               0.062394,               0.012455,               0.036142,              0.0082536,               0.009802,               0.009802,               0.009802
                      6,               0.057269,               0.015048,               0.042012,              0.0091031,                0.62408,                0.74145,                0.67567,                 0.3299,                0.65507,                0.75195,                0.70636,                0.54715,                0.05022,               0.023408,                0.04167,               0.010223,              0.0097525,              0.0097525,              0.0097525
                      7,               0.052486,               0.013884,               0.042853,              0.0084955,                0.55193,                 0.6328,                0.61672,                 0.2521,                 0.6011,                0.61867,                0.62138,                0.33691,               0.057605,               0.020996,               0.041012,              0.0089539,               0.009703,               0.009703,               0.009703
                      8,               0.047134,               0.014088,               0.040797,              0.0088057,                0.79689,                0.83047,                0.89521,                0.55472,                0.76564,                  0.791,                0.84027,                 0.5933,               0.035527,               0.013105,               0.032551,              0.0073347,              0.0096535,              0.0096535,              0.0096535
                      9,               0.043139,               0.013584,               0.040284,              0.0074197,                0.71126,                0.88874,                0.89502,                0.51889,                0.70825,                 0.8555,                0.86434,                0.62007,               0.035556,               0.012839,               0.037146,              0.0056625,               0.009604,               0.009604,               0.009604
                     10,               0.038474,               0.013441,               0.041141,              0.0053253,                 0.8641,                0.86533,                0.90023,                0.54682,                0.85529,                0.84046,                0.87699,                0.66717,               0.032132,               0.011904,               0.033956,              0.0038261,              0.0095545,              0.0095545,              0.0095545
                     11,               0.040072,               0.013024,               0.039913,              0.0051975,                0.71701,                 0.8505,                0.86804,                 0.4936,                0.72592,                0.85624,                0.86494,                0.67223,               0.034489,               0.018876,                0.03201,              0.0065441,               0.009505,               0.009505,               0.009505
                     12,               0.040381,               0.012945,               0.037053,              0.0051809,                0.85695,                 0.8206,                0.92269,                0.52321,                0.83849,                0.80325,                0.88782,                0.58371,               0.038963,               0.014238,               0.033151,              0.0043873,              0.0094555,              0.0094555,              0.0094555
                     13,               0.039273,               0.012032,               0.034389,              0.0041198,                0.82895,                0.92893,                0.95427,                0.58862,                 0.8206,                 0.9134,                0.93932,                0.61737,               0.038343,               0.012248,               0.030631,              0.0046997,               0.009406,               0.009406,               0.009406
                     14,                0.03654,               0.012595,               0.035482,              0.0044331,                 0.9195,                0.93644,                0.96811,                0.54219,                0.90721,                0.93828,                0.96195,                0.76722,               0.032073,                0.01111,               0.028467,              0.0029491,              0.0093565,              0.0093565,              0.0093565
                     15,               0.036418,               0.012354,               0.036876,              0.0038332,                0.93643,                0.87907,                0.93411,                0.52989,                0.90297,                0.85265,                0.89404,                 0.5722,               0.037238,               0.012456,               0.032919,              0.0032482,               0.009307,               0.009307,               0.009307
                     16,               0.036597,               0.012365,               0.035125,              0.0037581,                0.84664,                0.90299,                0.93441,                 0.5604,                0.85951,                0.84041,                0.87967,                0.59043,                0.03713,               0.013516,               0.032918,              0.0032768,              0.0092575,              0.0092575,              0.0092575
                     17,               0.030643,               0.012381,                0.03701,              0.0038347,                 0.9286,                0.88649,                0.96516,                0.68953,                0.91763,                0.87496,                0.94738,                0.70787,               0.025174,               0.011787,               0.029709,               0.010598,               0.009208,               0.009208,               0.009208
                     18,               0.031373,               0.012481,               0.035293,              0.0033835,                0.83529,                0.93017,                0.94811,                0.68232,                0.81868,                0.91347,                0.92615,                0.71244,               0.028827,               0.011319,               0.028663,              0.0045487,              0.0091585,              0.0091585,              0.0091585
                     19,               0.032505,               0.012122,               0.035529,              0.0030552,                0.98672,                 0.9536,                0.97948,                0.70537,                0.97919,                0.95406,                0.97751,                0.78042,               0.026923,               0.010873,               0.026768,              0.0021982,               0.009109,               0.009109,               0.009109
                     20,               0.032376,               0.011614,               0.033642,              0.0030421,                0.92366,                0.93252,                0.97041,                0.71066,                0.91482,                0.92392,                0.95228,                0.70506,               0.027888,               0.010954,               0.028625,              0.0045687,              0.0090595,              0.0090595,              0.0090595
                     21,               0.030469,               0.012038,               0.033545,              0.0030172,                0.94913,                0.91512,                0.96419,                0.71851,                0.93142,                0.88757,                0.92014,                0.65651,                0.02616,               0.014035,               0.030719,              0.0043562,                0.00901,                0.00901,                0.00901
                     22,               0.028268,               0.012341,               0.035379,              0.0031855,                0.96121,                0.95825,                0.98171,                0.65734,                0.95415,                0.95672,                0.96834,                0.75714,               0.027815,               0.011574,                0.02919,              0.0027875,              0.0089605,              0.0089605,              0.0089605
                     23,               0.030234,               0.012334,               0.033354,              0.0032475,                0.91581,                0.94741,                0.96254,                0.68145,                0.88527,                0.91612,                0.90749,                0.65665,               0.026147,               0.011481,               0.027778,              0.0028882,               0.008911,               0.008911,               0.008911
                     24,               0.030836,               0.011672,               0.032122,              0.0032723,                0.97041,                0.96454,                0.98795,                 0.7059,                0.96101,                0.95602,                 0.9772,                0.70479,               0.025393,               0.010829,                0.02649,              0.0019803,              0.0088615,              0.0088615,              0.0088615
