                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10763,               0.092632,                0.10264,               0.038934,                0.74752,                0.22892,                0.09984,               0.027669,                0.79641,                0.24749,                0.16281,               0.099439,               0.082601,               0.018692,               0.051814,               0.032343,               0.070638,              0.0032624,              0.0032624
                      1,               0.089817,               0.021153,               0.062671,               0.027989,                0.31094,                0.41111,                0.22049,                 0.0751,                0.69313,                0.47927,                0.54208,                0.40763,               0.086203,               0.014982,               0.033857,               0.023683,               0.040573,              0.0065304,              0.0065304
                      2,               0.089726,               0.016916,               0.053452,               0.021792,                0.33235,                0.38498,                0.26885,               0.076901,                0.61577,                0.43252,                0.48186,                0.30687,               0.091341,               0.030936,                0.03619,               0.022035,               0.010442,              0.0097325,              0.0097325
                      3,               0.082841,               0.019381,                0.05222,               0.018522,                0.42162,                 0.5484,                0.34607,                0.10502,                0.45186,                 0.6049,                0.47995,                0.34074,               0.076526,               0.019874,               0.041446,               0.017407,               0.009703,               0.009703,               0.009703
                      4,               0.072441,                0.01447,               0.048419,               0.015411,                0.40231,                0.65591,                0.40964,                0.14261,                0.47187,                0.66055,                0.49888,                0.35411,                0.07336,               0.012604,               0.032114,               0.011463,               0.009703,               0.009703,               0.009703
                      5,               0.066412,               0.014039,               0.047189,               0.012358,                0.42593,                0.67193,                0.46357,                  0.188,                0.45058,                0.63875,                0.53003,                0.32443,               0.060426,               0.011537,               0.031667,              0.0099284,               0.009604,               0.009604,               0.009604
                      6,               0.054515,               0.014822,               0.046511,               0.011159,                0.52297,                0.70743,                0.67401,                0.34974,                 0.5164,                0.69653,                0.65478,                 0.4856,               0.047535,               0.014952,               0.038136,               0.010115,               0.009505,               0.009505,               0.009505
                      7,               0.053568,               0.013775,               0.045254,               0.010058,                0.61535,                0.62713,                0.63722,                0.25603,                0.62094,                0.62015,                0.65822,                0.37067,               0.051652,               0.011865,               0.031055,                0.01025,               0.009406,               0.009406,               0.009406
                      8,               0.048251,               0.014514,               0.045267,              0.0089743,                0.63702,                 0.7859,                0.76308,                0.36547,                0.66474,                0.72818,                0.79977,                0.50212,               0.046857,               0.010584,               0.029234,              0.0074399,               0.009307,               0.009307,               0.009307
                      9,               0.049835,               0.012686,               0.043679,              0.0071109,                0.67123,                0.74615,                 0.8217,                0.40967,                0.67258,                0.74809,                0.80835,                0.57542,               0.046553,               0.010241,               0.028441,              0.0059869,               0.009208,               0.009208,               0.009208
                     10,                0.04531,               0.012448,               0.043257,              0.0060668,                0.69083,                0.83524,                0.88226,                0.54674,                0.68475,                0.82746,                0.85534,                 0.6181,                0.04284,               0.010275,               0.029862,              0.0056351,               0.009109,               0.009109,               0.009109
                     11,               0.042012,               0.013053,               0.039574,               0.006916,                0.85873,                0.75651,                0.86317,                0.55856,                0.84276,                 0.7238,                0.80775,                0.59304,               0.039123,                0.01057,                 0.0278,              0.0064036,                0.00901,                0.00901,                0.00901
                     12,               0.039699,               0.012649,                0.03979,              0.0060689,                 0.7784,                0.85419,                0.89649,                0.46691,                0.73501,                 0.8177,                0.83145,                0.52849,               0.041865,               0.010807,               0.027729,              0.0050852,               0.008911,               0.008911,               0.008911
                     13,               0.039028,                0.01302,               0.039202,              0.0049597,                0.68611,                0.85713,                0.87434,                0.50337,                 0.6564,                0.82966,                0.82355,                0.58441,               0.035615,               0.011576,               0.026834,              0.0046385,               0.008812,               0.008812,               0.008812
                     14,               0.037544,               0.012514,               0.036579,              0.0047086,                0.85485,                0.81782,                0.90511,                0.59091,                0.83984,                0.81434,                0.88366,                 0.6978,                0.03149,                0.01001,               0.028745,              0.0044584,               0.008713,               0.008713,               0.008713
                     15,               0.034152,               0.012363,               0.036918,              0.0047913,                0.84767,                0.84341,                0.95113,                  0.586,                0.84478,                0.84158,                0.94141,                0.67031,               0.034581,              0.0096267,               0.026116,              0.0035537,               0.008614,               0.008614,               0.008614
                     16,               0.035365,                0.01266,               0.037105,              0.0044019,                0.92635,                0.90094,                0.96384,                0.62414,                0.90624,                0.90792,                0.93906,                0.74825,               0.034082,               0.010255,               0.024839,              0.0025953,               0.008515,               0.008515,               0.008515
                     17,               0.034568,               0.012859,                0.03731,              0.0045408,                0.87732,                0.90159,                 0.9355,                0.54866,                0.81926,                0.87437,                0.86679,                0.58822,               0.032998,              0.0095484,               0.026194,              0.0034932,               0.008416,               0.008416,               0.008416
                     18,               0.031819,               0.012773,               0.038064,              0.0035889,                0.91754,                0.93381,                0.95554,                0.64523,                0.88342,                0.88589,                0.90027,                 0.6445,               0.027307,              0.0094262,               0.024276,              0.0029251,               0.008317,               0.008317,               0.008317
                     19,               0.033922,               0.012133,               0.034742,              0.0032998,                0.95794,                0.93352,                0.96781,                0.59935,                0.93492,                0.91143,                0.93247,                0.62364,               0.032437,              0.0093859,               0.024022,              0.0024469,               0.008218,               0.008218,               0.008218
                     20,               0.032766,               0.011791,               0.035232,              0.0034472,                0.89466,                0.93015,                0.95968,                0.65556,                0.87477,                0.91106,                0.93807,                0.66789,               0.031199,              0.0094187,               0.024344,              0.0029746,               0.008119,               0.008119,               0.008119
                     21,               0.031905,               0.012322,               0.035644,              0.0033366,                0.94121,                0.92738,                 0.9653,                0.70344,                0.92367,                0.90665,                0.93581,                0.68097,               0.026816,              0.0092733,               0.022566,              0.0023678,                0.00802,                0.00802,                0.00802
                     22,               0.031241,               0.011701,                 0.0336,              0.0028105,                0.93502,                0.93965,                0.95912,                 0.6329,                0.87405,                0.88215,                0.88283,                 0.6327,               0.031357,              0.0091666,               0.023811,              0.0022435,               0.007921,               0.007921,               0.007921
                     23,               0.030543,               0.011043,               0.034666,               0.002807,                0.85752,                0.89236,                0.95401,                0.66984,                0.83941,                0.88163,                0.92642,                0.68994,               0.027888,              0.0095502,               0.023932,              0.0023995,               0.007822,               0.007822,               0.007822
                     24,               0.027216,               0.011633,               0.034199,              0.0031776,                0.92924,                0.85211,                0.89989,                0.66383,                0.95477,                0.81886,                0.88179,                0.68586,                0.02544,               0.012537,               0.026417,              0.0038178,               0.007723,               0.007723,               0.007723
                     25,               0.026844,               0.011476,               0.033595,              0.0030433,                0.94069,                0.92619,                0.96327,                0.72693,                0.92492,                0.91102,                0.93987,                0.71491,               0.020953,              0.0098825,               0.022329,              0.0022364,               0.007624,               0.007624,               0.007624
                     26,               0.026522,               0.012071,               0.033299,              0.0028726,                0.97801,                0.92129,                0.97513,                0.70326,                0.94163,                0.90362,                0.93236,                0.67626,               0.022467,               0.009141,               0.022366,              0.0022324,               0.007525,               0.007525,               0.007525
                     27,               0.028123,               0.012122,               0.032791,              0.0034997,                0.97109,                0.94302,                0.97835,                0.72947,                0.95406,                0.93569,                0.95932,                0.70501,               0.023903,              0.0089867,               0.021621,               0.002229,               0.007426,               0.007426,               0.007426
                     28,               0.027531,               0.012103,               0.032232,              0.0028247,                0.94817,                0.94344,                0.96824,                0.68867,                 0.9373,                0.93144,                0.95425,                  0.688,               0.023485,              0.0092157,               0.021496,              0.0019268,               0.007327,               0.007327,               0.007327
