                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.081594,               0.013809,                0.04591,               0.019167,                0.37158,                0.58596,                0.49841,                0.16507,                0.39993,                0.62573,                0.52679,                0.39979,               0.079806,               0.025838,               0.029793,               0.010252,               0.009241,               0.009241,               0.009241
                     25,               0.081546,               0.013549,               0.042427,               0.018341,                0.27769,                0.64795,                0.36602,                0.10794,                0.46221,                0.58129,                0.51776,                0.28763,               0.090425,               0.028373,               0.027576,              0.0094872,               0.009208,               0.009208,               0.009208
                     26,               0.087459,               0.013118,               0.044096,                0.01416,                0.32438,                0.64795,                0.45096,                0.16687,                 0.3409,                 0.6924,                0.50144,                0.41274,               0.076291,               0.032756,               0.027153,              0.0090076,               0.009175,               0.009175,               0.009175
                     27,               0.075331,               0.014395,               0.046166,               0.015806,                 0.5337,                  0.548,                0.56463,                0.19249,                0.71329,                0.61318,                 0.6493,                0.49895,               0.086456,               0.035003,               0.032364,              0.0089195,               0.009142,               0.009142,               0.009142
                     28,               0.080881,               0.013109,               0.036657,               0.014168,                0.36594,                0.41287,                0.36325,                0.13284,                0.51582,                0.55515,                0.54589,                0.40927,               0.074476,               0.030177,               0.026188,              0.0087616,               0.009109,               0.009109,               0.009109
                     29,                0.07268,               0.012191,               0.044427,               0.015447,                0.36594,                0.41287,                0.36325,                0.13284,                0.51582,                0.55515,                0.54589,                0.40927,               0.074476,               0.030177,               0.026188,              0.0087616,               0.009076,               0.009076,               0.009076
                     30,               0.070979,               0.014493,               0.043114,               0.013329,                0.41693,                0.63392,                0.43189,                0.19437,                0.51201,                0.57696,                0.54142,                0.41437,                0.06964,               0.023076,               0.026363,              0.0087673,               0.009043,               0.009043,               0.009043
                     31,               0.074948,               0.013333,                0.04307,               0.012595,                0.41102,                0.64954,                0.59633,                0.19892,                0.40947,                0.64795,                0.61952,                0.43642,               0.071778,               0.028489,               0.028801,              0.0084297,                0.00901,                0.00901,                0.00901
                     32,                0.07159,               0.013809,               0.046174,               0.011822,                0.41713,                0.68997,                0.59151,                0.19955,                0.47505,                 0.6402,                0.62016,                0.47211,                0.07054,               0.032732,               0.028069,              0.0084572,               0.008977,               0.008977,               0.008977
                     33,                0.06491,               0.018702,               0.043869,               0.014545,                  0.376,                0.59158,                0.47602,                0.19874,                0.44077,                0.64211,                0.49547,                0.35752,               0.064952,               0.022918,               0.028183,              0.0072567,               0.008944,               0.008944,               0.008944
                     34,               0.066326,               0.015635,               0.048096,               0.014027,                0.33007,                 0.5193,                0.47232,                0.16104,                 0.3567,                0.55672,                0.50587,                0.39693,               0.071587,               0.021735,               0.030396,              0.0073826,               0.008911,               0.008911,               0.008911
                     35,               0.071892,               0.014742,               0.043291,               0.013697,                0.33941,                0.66411,                0.51202,                0.19754,                0.40298,                0.68961,                0.53579,                0.39484,               0.066412,               0.021275,               0.025913,              0.0070438,               0.008878,               0.008878,               0.008878
                     36,               0.063063,               0.013976,                0.04653,               0.012631,                0.37948,                0.71813,                0.57304,                0.24258,                0.42868,                0.73567,                0.58973,                0.41932,               0.062884,               0.017521,               0.027393,              0.0061546,               0.008845,               0.008845,               0.008845
                     37,               0.064686,               0.013208,               0.038291,               0.014308,                0.37948,                0.71813,                0.57304,                0.24258,                0.42868,                0.73567,                0.58973,                0.41932,               0.062884,               0.017521,               0.027393,              0.0061546,               0.008812,               0.008812,               0.008812
                     38,               0.059954,               0.013387,               0.037963,               0.012531,                0.46089,                0.71813,                0.60923,                0.26418,                0.48898,                0.73567,                0.60159,                0.43936,               0.061495,               0.015434,               0.027756,              0.0056866,               0.008779,               0.008779,               0.008779
                     39,                0.05903,               0.013572,               0.039031,               0.013042,                0.36474,                0.72749,                0.45472,                0.18919,                0.38646,                0.65932,                0.46492,                0.33319,               0.060752,               0.014297,               0.028015,              0.0049164,               0.008746,               0.008746,               0.008746
                     40,               0.066033,               0.014557,               0.045601,               0.014929,                0.41514,                0.65045,                 0.5697,                0.21452,                0.48053,                 0.6924,                   0.62,                0.44494,               0.072858,               0.014163,                0.03006,               0.004985,               0.008713,               0.008713,               0.008713
                     41,               0.070451,               0.013878,               0.035964,               0.014441,                0.42671,                0.68951,                 0.6575,                0.18515,                0.49285,                0.74971,                0.67031,                0.51301,               0.064561,               0.017564,               0.026955,              0.0054646,                0.00868,                0.00868,                0.00868
                     42,               0.070472,               0.012954,               0.042505,               0.011191,                0.56476,                0.60069,                 0.6513,                0.34699,                 0.4521,                 0.5731,                0.59372,                0.37268,               0.075773,               0.015446,               0.027634,              0.0057266,               0.008647,               0.008647,               0.008647
                     43,               0.074462,               0.014269,               0.042775,               0.012642,                0.46219,                0.69123,                0.65089,                0.22632,                 0.5113,                0.74943,                0.69249,                0.52584,               0.060095,               0.019154,               0.027397,              0.0062748,               0.008614,               0.008614,               0.008614
                     44,               0.057636,               0.013888,               0.039661,               0.012611,                0.52763,                0.79766,                0.69471,                0.40511,                 0.4997,                0.74503,                0.65817,                0.52292,               0.061348,               0.017337,               0.027706,              0.0072315,               0.008581,               0.008581,               0.008581
                     45,               0.065035,               0.014722,               0.043112,               0.012867,                0.52763,                0.79766,                0.69471,                0.40511,                 0.4997,                0.74503,                0.65817,                0.52292,               0.061348,               0.017337,               0.027706,              0.0072315,               0.008548,               0.008548,               0.008548
                     46,               0.058468,               0.013636,               0.040098,               0.012453,                0.54507,                0.70437,                0.71239,                  0.417,                0.51393,                0.70887,                0.69611,                0.54016,                0.05935,                0.01778,               0.027393,              0.0078735,               0.008515,               0.008515,               0.008515
                     47,               0.058008,               0.014196,               0.041833,               0.011924,                0.59466,                0.66748,                0.70524,                0.42422,                 0.5933,                0.66818,                0.69784,                0.55729,               0.055683,               0.014388,                0.02676,              0.0057941,               0.008482,               0.008482,               0.008482
                     48,               0.057591,               0.013124,               0.040138,               0.010637,                0.64005,                0.58596,                 0.6345,                0.36639,                0.61501,                0.58596,                0.62106,                0.45746,                 0.0596,               0.014537,               0.026108,              0.0053741,               0.008449,               0.008449,               0.008449
                     49,               0.062384,               0.014266,               0.034965,               0.010801,                0.46959,                0.67998,                 0.6147,                0.22319,                0.54931,                 0.7671,                0.63732,                0.49344,               0.062061,               0.014112,               0.025372,              0.0049908,               0.008416,               0.008416,               0.008416
                     50,               0.065469,               0.013984,               0.041194,               0.010624,                 0.4418,                0.72635,                  0.574,                0.27105,                0.34161,                0.67932,                0.49579,                0.34483,               0.065798,               0.013885,               0.024887,              0.0045216,               0.008383,               0.008383,               0.008383
                     51,               0.064847,               0.013033,               0.038481,               0.011685,                0.75726,                0.79506,                0.73591,                0.35835,                0.72157,                0.77847,                0.70752,                0.53739,               0.054655,               0.017224,               0.025902,              0.0049816,                0.00835,                0.00835,                0.00835
                     52,               0.055725,               0.012909,                0.04427,              0.0088153,                0.59418,                0.70526,                0.65358,                0.34878,                0.59389,                0.64795,                0.61387,                 0.3876,               0.064266,               0.020064,               0.026287,               0.006625,               0.008317,               0.008317,               0.008317
