                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     24,               0.028595,               0.011555,               0.032035,              0.0028557,                0.98004,                0.97347,                0.98827,                0.76705,                0.97557,                0.96918,                 0.9803,                 0.7654,               0.020207,               0.010529,               0.025142,              0.0019536,               0.007723,               0.007723,               0.007723
                     25,               0.027846,               0.012315,               0.032764,              0.0029131,                0.97879,                0.98272,                0.98783,                0.70516,                0.95539,                0.96129,                0.95559,                0.68754,               0.024138,               0.010255,               0.025314,              0.0021015,               0.007624,               0.007624,               0.007624
                     26,               0.028059,               0.011926,               0.031202,              0.0026883,                0.98002,                0.96183,                0.98616,                0.69831,                0.93942,                0.96993,                0.97022,                0.66787,               0.026597,               0.010908,               0.026585,              0.0022195,               0.007525,               0.007525,               0.007525
                     27,               0.027764,               0.011842,               0.032845,              0.0026807,                 0.9341,                0.97419,                0.98538,                0.73824,                0.92161,                0.96346,                0.96485,                0.71485,               0.023934,               0.010712,               0.025439,               0.002372,               0.007426,               0.007426,               0.007426
                     28,               0.023587,               0.011676,               0.030247,              0.0024865,                 0.8382,                0.92326,                0.92137,                0.66335,                0.82549,                0.90738,                0.88005,                0.68813,               0.025789,               0.011459,               0.027273,              0.0023745,               0.007327,               0.007327,               0.007327
                     29,               0.025953,               0.011335,               0.030526,              0.0023973,                0.96859,                0.94195,                0.97796,                0.72809,                0.95824,                0.92865,                0.95352,                 0.7467,               0.022491,               0.011559,               0.025542,              0.0027425,               0.007228,               0.007228,               0.007228
                     30,               0.024725,                0.01146,               0.030861,              0.0026914,                0.98696,                0.96602,                0.98641,                0.77489,                0.97836,                0.95402,                0.97082,                0.74927,               0.019139,               0.010883,               0.024313,              0.0026693,               0.007129,               0.007129,               0.007129
                     31,               0.024849,                0.01213,               0.030546,              0.0023492,                0.98011,                0.97081,                0.98703,                 0.7399,                0.95918,                0.94895,                0.94944,                0.69153,               0.023097,               0.010666,               0.025012,              0.0016372,                0.00703,                0.00703,                0.00703
                     32,               0.024064,               0.011258,                0.02995,               0.002628,                0.98747,                0.97009,                0.98774,                0.78418,                0.97825,                0.96149,                0.97489,                0.73935,               0.018329,               0.010609,               0.022988,              0.0018168,               0.006931,               0.006931,               0.006931
                     33,               0.023808,               0.011405,               0.029159,              0.0021546,                0.98999,                0.96729,                0.99239,                0.75277,                0.97693,                0.95753,                0.97148,                0.74779,               0.019687,               0.010648,               0.023876,              0.0015112,               0.006832,               0.006832,               0.006832
                     34,               0.023811,               0.011488,               0.030388,              0.0019767,                0.97885,                0.97742,                0.99227,                0.76566,                0.97057,                0.96936,                0.97936,                 0.7788,               0.021934,                0.01097,               0.025293,              0.0021116,               0.006733,               0.006733,               0.006733
                     35,               0.024732,               0.011271,               0.030292,              0.0020905,                0.99388,                0.96709,                0.99182,                0.76454,                0.98679,                0.96127,                0.97888,                0.78391,               0.020159,               0.010313,               0.023578,              0.0016931,               0.006634,               0.006634,               0.006634
                     36,               0.022715,               0.011998,               0.030071,              0.0021639,                0.95901,                 0.9861,                0.98815,                0.80526,                0.95057,                0.97767,                0.97251,                0.73744,               0.018987,               0.010241,                0.02308,              0.0015218,               0.006535,               0.006535,               0.006535
                     37,               0.023471,               0.011478,               0.028566,              0.0021163,                0.98028,                 0.9797,                0.98973,                0.76263,                 0.9538,                0.95408,                0.95213,                0.69894,               0.020627,               0.010442,               0.023826,              0.0019998,               0.006436,               0.006436,               0.006436
                     38,               0.021214,               0.011098,               0.029791,              0.0017915,                0.98407,                0.98252,                0.99046,                0.82092,                0.97594,                0.97556,                0.98173,                0.75306,               0.016619,               0.010191,               0.023015,              0.0016853,               0.006337,               0.006337,               0.006337
                     39,               0.021145,               0.011112,               0.029352,              0.0019208,                0.99128,                 0.9845,                0.99221,                0.78754,                0.98587,                0.97913,                0.98336,                0.76674,               0.017052,               0.010271,               0.022275,              0.0012593,               0.006238,               0.006238,               0.006238
                     40,               0.020592,               0.010809,               0.028178,              0.0018786,                0.99349,                0.98549,                0.99099,                0.83355,                0.98522,                0.97742,                0.97877,                0.76467,               0.016159,               0.010121,               0.022292,              0.0012558,               0.006139,               0.006139,               0.006139
                     41,               0.020848,               0.011033,               0.030336,              0.0016895,                0.98379,                0.98612,                0.99136,                0.78383,                0.98003,                0.98235,                0.98483,                0.79114,               0.019324,               0.010435,               0.022743,              0.0012609,                0.00604,                0.00604,                0.00604
                     42,                0.02189,               0.011137,               0.028423,              0.0017433,                0.99267,                0.98011,                0.99265,                0.78793,                0.98327,                0.97939,                0.97788,                0.78373,               0.017883,               0.010248,               0.022577,              0.0012253,               0.005941,               0.005941,               0.005941
                     43,               0.021444,               0.010803,               0.029376,              0.0014985,                0.99199,                 0.9848,                0.99143,                0.81736,                0.98757,                 0.9805,                0.97719,                0.78318,                0.01596,                0.01018,               0.021723,              0.0011084,               0.005842,               0.005842,               0.005842
                     44,               0.020557,               0.011076,               0.028194,              0.0016628,                0.98895,                0.98396,                0.99111,                0.85011,                0.98675,                0.98181,                0.98217,                0.77191,               0.014643,               0.010015,                 0.0208,              0.0011011,               0.005743,               0.005743,               0.005743
                     45,               0.020395,               0.010526,               0.026134,              0.0017204,                0.98152,                0.98269,                0.98829,                0.81005,                0.97344,                0.97462,                0.97736,                0.75406,               0.017384,               0.010088,               0.021853,              0.0013857,               0.005644,               0.005644,               0.005644
                     46,               0.019641,               0.010744,               0.026975,              0.0018769,                0.99345,                0.98352,                0.99061,                0.83939,                0.98889,                0.97924,                0.98378,                 0.7618,               0.015822,               0.010142,               0.021805,               0.001454,               0.005545,               0.005545,               0.005545
                     47,               0.019357,               0.010836,               0.026622,               0.002008,                0.99174,                 0.9747,                0.99039,                0.82427,                0.98642,                 0.9806,                0.98632,                0.78607,               0.014836,              0.0099302,               0.020879,              0.0014837,               0.005446,               0.005446,               0.005446
                     48,               0.018904,               0.010443,               0.024736,              0.0017077,                0.99228,                0.98065,                0.99025,                0.80859,                0.98529,                0.97419,                0.97763,                0.77017,               0.016977,              0.0098326,               0.021331,              0.0013365,               0.005347,               0.005347,               0.005347
                     49,               0.018351,               0.011073,               0.026058,               0.001839,                0.98838,                0.98537,                0.98897,                0.83266,                0.98456,                0.98168,                0.98457,                0.77101,               0.014769,               0.010013,               0.020876,              0.0013678,               0.005248,               0.005248,               0.005248
                     50,               0.018647,               0.010727,               0.026216,              0.0017319,                0.98986,                0.98291,                0.99091,                0.85227,                0.98514,                0.97958,                 0.9805,                0.75804,                 0.0159,              0.0097358,               0.021696,              0.0011746,               0.005149,               0.005149,               0.005149
                     51,               0.018783,               0.011157,               0.026786,               0.001423,                0.99269,                0.98085,                0.99122,                0.83663,                0.99045,                 0.9787,                0.98745,                0.75515,                0.01538,              0.0097565,               0.020951,              0.0012377,                0.00505,                0.00505,                0.00505
                     52,               0.017202,               0.010756,               0.025246,              0.0015217,                0.99145,                0.98495,                0.99371,                0.84254,                0.98694,                0.98065,                0.98177,                0.77958,               0.014735,              0.0099567,               0.020885,             0.00097366,               0.004951,               0.004951,               0.004951
                     53,               0.017468,               0.010898,               0.024729,               0.001348,                0.99573,                0.97875,                0.99376,                0.82892,                0.98478,                 0.9753,                0.98253,                0.78194,               0.014544,               0.010051,               0.020972,              0.0010781,               0.004852,               0.004852,               0.004852
                     54,               0.017311,               0.010999,               0.026694,               0.001292,                0.99248,                0.98495,                0.99196,                0.83487,                0.98844,                0.98119,                0.98795,                0.77919,               0.015573,               0.010146,               0.021296,              0.0010226,               0.004753,               0.004753,               0.004753
                     55,               0.017762,               0.011086,               0.024201,              0.0015646,                0.99363,                0.99077,                0.99341,                0.85503,                0.98257,                0.98003,                0.97857,                0.75668,               0.013927,              0.0098258,                0.01993,              0.0010133,               0.004654,               0.004654,               0.004654
                     56,               0.016924,               0.010481,               0.023373,              0.0014596,                0.99764,                  0.989,                0.99297,                 0.8593,                0.99542,                0.98685,                0.98773,                0.76969,               0.013846,              0.0097014,               0.019857,             0.00092378,               0.004555,               0.004555,               0.004555
                     57,                0.01613,                0.01059,               0.023896,              0.0012955,                0.99586,                 0.9914,                 0.9919,                0.85485,                0.97836,                0.97419,                  0.963,                0.74892,               0.013502,                0.01001,               0.019209,             0.00089936,               0.004456,               0.004456,               0.004456
                     58,               0.016525,               0.010911,               0.024585,              0.0013999,                0.99294,                 0.9914,                0.99185,                0.86278,                0.98853,                 0.9871,                0.98503,                0.78591,               0.013408,              0.0098813,               0.019402,             0.00087799,               0.004357,               0.004357,               0.004357
                     59,               0.016607,               0.010772,               0.025272,              0.0014036,                0.99006,                0.98662,                0.99231,                0.86336,                0.98484,                0.97634,                0.98112,                0.78875,                0.01377,              0.0098984,               0.019417,             0.00087807,               0.004258,               0.004258,               0.004258
                     60,               0.016548,               0.010637,               0.024243,              0.0011987,                0.99842,                0.98029,                0.99193,                0.84927,                0.98927,                0.97171,                0.97651,                0.73947,               0.013844,              0.0099934,               0.019506,             0.00084613,               0.004159,               0.004159,               0.004159
                     61,               0.016312,               0.011112,               0.023123,              0.0015715,                0.98909,                0.98741,                0.99365,                 0.8718,                0.98704,                0.97788,                0.97835,                 0.7542,               0.012738,               0.010001,               0.019294,              0.0008073,                0.00406,                0.00406,                0.00406
                     62,               0.015258,               0.010378,               0.023677,              0.0011051,                0.99412,                0.99023,                0.99201,                0.87362,                0.98901,                 0.9871,                0.98399,                0.76818,               0.012412,               0.009911,               0.019077,             0.00075429,               0.003961,               0.003961,               0.003961
                     63,               0.015838,               0.010682,               0.024533,              0.0011423,                0.99616,                0.99044,                0.99186,                0.86317,                0.99395,                0.98833,                0.98575,                0.79259,               0.013323,              0.0099874,               0.019574,             0.00071308,               0.003862,               0.003862,               0.003862
                     64,               0.015697,               0.010489,               0.023283,              0.0012523,                0.99658,                0.98628,                0.99188,                0.87368,                0.98989,                0.97983,                0.98303,                0.78457,               0.012604,              0.0099795,               0.019131,             0.00076377,               0.003763,               0.003763,               0.003763
                     65,                0.01494,               0.010623,                0.02447,              0.0010276,                0.99941,                0.98676,                0.99015,                0.86878,                0.99081,                0.98065,                0.98125,                0.76211,               0.013053,               0.010229,               0.019174,             0.00070741,               0.003664,               0.003664,               0.003664
                     66,               0.014545,               0.010018,               0.021984,              0.0010238,                0.98922,                0.98714,                0.99131,                0.86512,                0.98703,                0.98499,                  0.984,                0.75765,               0.012506,              0.0099324,               0.018927,             0.00074616,               0.003565,               0.003565,               0.003565
                     67,               0.014898,               0.010197,               0.023484,              0.0011511,                0.99683,                0.98891,                0.99176,                0.87975,                0.99462,                0.98676,                0.98344,                0.77856,               0.011635,              0.0097792,               0.018927,             0.00062901,               0.003466,               0.003466,               0.003466
                     68,                0.01445,               0.010038,               0.023041,              0.0010914,                 0.9936,                0.98563,                0.99191,                0.86547,                0.98907,                0.98137,                0.98328,                0.79003,                0.01213,               0.010329,               0.019048,             0.00076683,               0.003367,               0.003367,               0.003367
                     69,               0.014353,               0.010536,               0.023412,              0.0010913,                0.99237,                0.98728,                0.99419,                0.87283,                0.98799,                0.98307,                0.98356,                0.78939,               0.011193,              0.0098803,               0.017967,             0.00059377,               0.003268,               0.003268,               0.003268
                     70,               0.013865,               0.010312,               0.023736,             0.00099342,                0.99285,                0.98626,                0.99106,                0.88734,                0.98842,                0.98196,                 0.9842,                0.78309,               0.010647,              0.0098068,                  0.018,             0.00056943,               0.003169,               0.003169,               0.003169
                     71,               0.013804,               0.010382,               0.023393,             0.00090191,                 0.9961,                 0.9914,                0.99209,                0.88382,                0.98511,                0.98065,                0.97068,                0.76198,               0.010979,               0.009697,               0.017828,             0.00056006,                0.00307,                0.00307,                0.00307
                     72,               0.013369,                0.01065,               0.022253,             0.00098431,                 0.9942,                 0.9871,                0.99205,                0.88678,                 0.9875,                0.98065,                0.98048,                0.76694,                0.01101,              0.0096379,               0.017973,             0.00071606,               0.002971,               0.002971,               0.002971
                     73,               0.012947,               0.010173,               0.021468,             0.00098459,                0.99917,                0.98865,                0.99219,                0.88233,                 0.9858,                0.97593,                0.97298,                0.77395,               0.011302,              0.0096938,               0.017948,             0.00057396,               0.002872,               0.002872,               0.002872
                     74,               0.012782,               0.010599,                0.02011,              0.0010066,                0.99261,                 0.9914,                0.99198,                0.89761,                0.98826,                 0.9871,                0.98397,                0.78613,                0.01056,              0.0097892,               0.017795,             0.00057219,               0.002773,               0.002773,               0.002773
                     75,               0.012786,               0.010669,               0.022559,             0.00090938,                0.99159,                0.99291,                0.99212,                0.87524,                0.98729,                0.98861,                0.98458,                0.79933,               0.011595,              0.0098864,                0.01847,             0.00059405,               0.002674,               0.002674,               0.002674
                     76,               0.012546,                0.01004,               0.022085,             0.00081558,                0.99667,                0.98488,                0.99182,                0.89359,                0.99219,                0.98063,                0.98401,                  0.786,               0.010537,               0.009832,               0.017924,             0.00055703,               0.002575,               0.002575,               0.002575
