                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10763,               0.092632,                0.10264,               0.038934,                0.74752,                0.22892,                0.09984,               0.027669,                0.79641,                0.24749,                0.16281,               0.099439,               0.082601,               0.018692,               0.051814,               0.032343,               0.070638,              0.0032624,              0.0032624
                      1,               0.087763,               0.020432,               0.064006,               0.027937,                 0.4263,                 0.4398,                0.30455,               0.086954,                0.36226,                 0.4637,                0.44926,                0.32269,               0.078635,               0.016873,               0.036117,               0.023966,               0.040606,              0.0065631,              0.0065631
                      2,               0.088136,               0.018164,               0.053817,               0.022101,                0.20033,                0.58728,                0.28431,               0.085907,                0.61529,                0.44752,                0.46035,                 0.2669,                0.09167,               0.018766,               0.032481,               0.019838,                0.01054,              0.0098308,              0.0098308
                      3,               0.084274,               0.017462,               0.050823,               0.020072,                0.45326,                0.66061,                0.51368,                0.20373,                0.53547,                0.69189,                 0.5994,                 0.4288,               0.074594,                0.01513,               0.031461,               0.018473,              0.0098515,              0.0098515,              0.0098515
                      4,               0.070818,               0.014569,               0.048781,               0.017009,                0.46804,                 0.5842,                0.46204,                0.14904,                0.69231,                0.53431,                 0.6193,                0.44753,               0.073883,               0.012909,                0.03466,               0.012378,              0.0098515,              0.0098515,              0.0098515
                      5,                0.06398,               0.013737,               0.048806,                0.01377,                0.74248,                0.62067,                0.71941,                0.30044,                0.76074,                0.61729,                0.71658,                 0.5611,               0.053757,               0.014471,               0.032757,               0.011137,               0.009802,               0.009802,               0.009802
                      6,               0.054417,               0.014437,               0.045822,               0.011764,                0.60792,                0.67973,                0.65814,                0.30591,                0.70451,                0.68425,                0.72618,                  0.579,               0.050133,                0.01091,               0.033521,              0.0089216,              0.0097525,              0.0097525,              0.0097525
                      7,                 0.0544,               0.013545,               0.044915,              0.0096194,                0.79186,                0.74689,                0.82755,                  0.378,                0.81539,                0.73908,                0.83171,                 0.6669,                0.04492,               0.010698,               0.027811,              0.0072915,               0.009703,               0.009703,               0.009703
                      8,               0.050471,               0.014856,               0.042995,              0.0091095,                  0.543,                0.66957,                0.61581,                0.31711,                0.49246,                0.63247,                0.56671,                0.38827,               0.051536,               0.019931,                0.03786,              0.0087294,              0.0096535,              0.0096535,              0.0096535
                      9,               0.047974,                0.01373,               0.045063,              0.0073688,                0.49086,                0.79654,                0.74573,                0.34194,                0.42516,                0.78103,                0.66909,                0.42719,               0.051399,               0.014417,               0.034437,              0.0068584,               0.009604,               0.009604,               0.009604
                     10,               0.042454,               0.012711,               0.044828,              0.0064319,                0.76512,                0.79874,                0.89572,                0.49514,                0.78143,                0.75758,                0.86095,                0.64362,               0.038263,               0.010332,               0.028581,              0.0070485,              0.0095545,              0.0095545,              0.0095545
